timestamp,datetime,best_bid,best_ask,bid_volume,ask_volume
1755819010,2025-08-21 19:30:10,0.2912,0.2913,0.00,0.00
1755819022,2025-08-21 19:30:22,0.2912,0.2913,0.00,0.00
1755819023,2025-08-21 19:30:23,0.2912,0.2913,0.00,0.00
1755819023,2025-08-21 19:30:23,0.2912,0.2913,0.00,0.00
1755819025,2025-08-21 19:30:25,0.2911,0.2912,0.00,0.00
1755819026,2025-08-21 19:30:26,0.2911,0.2912,0.00,0.00
1755819027,2025-08-21 19:30:27,0.2911,0.2912,0.00,0.00
1755819029,2025-08-21 19:30:29,0.2912,0.2913,0.00,0.00
1755819030,2025-08-21 19:30:30,0.2912,0.2913,0.00,0.00
1755819031,2025-08-21 19:30:31,0.2911,0.2912,0.00,0.00
1755819033,2025-08-21 19:30:33,0.2911,0.2912,0.00,0.00
1755819033,2025-08-21 19:30:33,0.2911,0.2912,0.00,0.00
1755819034,2025-08-21 19:30:34,0.2911,0.2912,0.00,0.00
1755819036,2025-08-21 19:30:36,0.2911,0.2912,0.00,0.00
1755819037,2025-08-21 19:30:37,0.2911,0.2912,0.00,0.00
1755819038,2025-08-21 19:30:38,0.2911,0.2912,0.00,0.00
1755819040,2025-08-21 19:30:40,0.2911,0.2912,0.00,0.00
1755819040,2025-08-21 19:30:40,0.2911,0.2912,0.00,0.00
1755819041,2025-08-21 19:30:41,0.2911,0.2912,0.00,0.00
1755819043,2025-08-21 19:30:43,0.2911,0.2912,0.00,0.00
1755819044,2025-08-21 19:30:44,0.2911,0.2912,0.00,0.00
1755819045,2025-08-21 19:30:45,0.2910,0.2911,0.00,0.00
1755819047,2025-08-21 19:30:47,0.2910,0.2911,0.00,0.00
1755819048,2025-08-21 19:30:48,0.2910,0.2911,0.00,0.00
1755819050,2025-08-21 19:30:50,0.2910,0.2911,0.00,0.00
1755819052,2025-08-21 19:30:52,0.2911,0.2912,0.00,0.00
1755819053,2025-08-21 19:30:53,0.2911,0.2912,0.00,0.00
1755819054,2025-08-21 19:30:54,0.2911,0.2912,0.00,0.00
1755819057,2025-08-21 19:30:57,0.2911,0.2912,0.00,0.00
1755819058,2025-08-21 19:30:58,0.2911,0.2912,0.00,0.00
1755819059,2025-08-21 19:30:59,0.2911,0.2912,0.00,0.00
1755819061,2025-08-21 19:31:01,0.2911,0.2913,0.00,0.00
1755819062,2025-08-21 19:31:02,0.2911,0.2913,0.00,0.00
1755819063,2025-08-21 19:31:03,0.2911,0.2912,0.00,0.00
1755819066,2025-08-21 19:31:06,0.2911,0.2912,0.00,0.00
1755819068,2025-08-21 19:31:08,0.2910,0.2911,0.00,0.00
1755819069,2025-08-21 19:31:09,0.2910,0.2911,0.00,0.00
1755819073,2025-08-21 19:31:13,0.2910,0.2911,0.00,0.00
1755819074,2025-08-21 19:31:14,0.2910,0.2911,0.00,0.00
1755819076,2025-08-21 19:31:16,0.2910,0.2911,0.00,0.00
1755819079,2025-08-21 19:31:19,0.2910,0.2911,0.00,0.00
1755819081,2025-08-21 19:31:21,0.2910,0.2911,0.00,0.00
1755819081,2025-08-21 19:31:21,0.2910,0.2911,0.00,0.00
1755819083,2025-08-21 19:31:23,0.2910,0.2911,0.00,0.00
1755819084,2025-08-21 19:31:24,0.2910,0.2911,0.00,0.00
1755819085,2025-08-21 19:31:25,0.2910,0.2911,0.00,0.00
1755819087,2025-08-21 19:31:27,0.2909,0.2910,0.00,0.00
1755819088,2025-08-21 19:31:28,0.2909,0.2910,0.00,0.00
1755819088,2025-08-21 19:31:28,0.2909,0.2910,0.00,0.00
1755819091,2025-08-21 19:31:31,0.2909,0.2910,0.00,0.00
1755819091,2025-08-21 19:31:31,0.2909,0.2910,0.00,0.00
1755819092,2025-08-21 19:31:32,0.2910,0.2911,0.00,0.00
1755819096,2025-08-21 19:31:36,0.2910,0.2911,0.00,0.00
1755819098,2025-08-21 19:31:38,0.2909,0.2910,0.00,0.00
1755819099,2025-08-21 19:31:39,0.2908,0.2910,0.00,0.00
1755819101,2025-08-21 19:31:41,0.2908,0.2910,0.00,0.00
1755819102,2025-08-21 19:31:42,0.2908,0.2910,0.00,0.00
1755819103,2025-08-21 19:31:43,0.2909,0.2910,0.00,0.00
1755819105,2025-08-21 19:31:45,0.2908,0.2909,0.00,0.00
1755819106,2025-08-21 19:31:46,0.2908,0.2909,0.00,0.00
1755819107,2025-08-21 19:31:47,0.2908,0.2909,0.00,0.00
1755819109,2025-08-21 19:31:49,0.2908,0.2909,0.00,0.00
1755819110,2025-08-21 19:31:50,0.2908,0.2909,0.00,0.00
1755819111,2025-08-21 19:31:51,0.2908,0.2909,0.00,0.00
1755819114,2025-08-21 19:31:54,0.2908,0.2909,0.00,0.00
1755819115,2025-08-21 19:31:55,0.2909,0.2910,0.00,0.00
1755819116,2025-08-21 19:31:56,0.2909,0.2910,0.00,0.00
1755819118,2025-08-21 19:31:58,0.2909,0.2910,0.00,0.00
1755819119,2025-08-21 19:31:59,0.2909,0.2910,0.00,0.00
1755819120,2025-08-21 19:32:00,0.2909,0.2910,0.00,0.00
1755819122,2025-08-21 19:32:02,0.2910,0.2911,0.00,0.00
1755819123,2025-08-21 19:32:03,0.2910,0.2911,0.00,0.00
1755819124,2025-08-21 19:32:04,0.2910,0.2911,0.00,0.00
1755819126,2025-08-21 19:32:06,0.2910,0.2911,0.00,0.00
1755819127,2025-08-21 19:32:07,0.2910,0.2911,0.00,0.00
1755819128,2025-08-21 19:32:08,0.2910,0.2911,0.00,0.00
1755819130,2025-08-21 19:32:10,0.2910,0.2911,0.00,0.00
1755819131,2025-08-21 19:32:11,0.2911,0.2912,0.00,0.00
1755819132,2025-08-21 19:32:12,0.2911,0.2912,0.00,0.00
1755819134,2025-08-21 19:32:14,0.2912,0.2913,0.00,0.00
1755819136,2025-08-21 19:32:16,0.2912,0.2913,0.00,0.00
1755819136,2025-08-21 19:32:16,0.2912,0.2913,0.00,0.00
1755819140,2025-08-21 19:32:20,0.2912,0.2913,0.00,0.00
1755819142,2025-08-21 19:32:22,0.2912,0.2913,0.00,0.00
1755819143,2025-08-21 19:32:23,0.2912,0.2913,0.00,0.00
1755819146,2025-08-21 19:32:26,0.2912,0.2913,0.00,0.00
1755819148,2025-08-21 19:32:28,0.2912,0.2913,0.00,0.00
1755819149,2025-08-21 19:32:29,0.2912,0.2913,0.00,0.00
1755819152,2025-08-21 19:32:32,0.2912,0.2913,0.00,0.00
1755819153,2025-08-21 19:32:33,0.2912,0.2913,0.00,0.00
1755819155,2025-08-21 19:32:35,0.2912,0.2913,0.00,0.00
1755819158,2025-08-21 19:32:38,0.2913,0.2914,0.00,0.00
1755819159,2025-08-21 19:32:39,0.2913,0.2914,0.00,0.00
1755819161,2025-08-21 19:32:41,0.2913,0.2914,0.00,0.00
1755819164,2025-08-21 19:32:44,0.2913,0.2914,0.00,0.00
1755819165,2025-08-21 19:32:45,0.2914,0.2915,0.00,0.00
1755819167,2025-08-21 19:32:47,0.2914,0.2915,0.00,0.00
1755819170,2025-08-21 19:32:50,0.2914,0.2915,0.00,0.00
1755819172,2025-08-21 19:32:52,0.2914,0.2915,0.00,0.00
1755819173,2025-08-21 19:32:53,0.2914,0.2915,0.00,0.00
1755819907,2025-08-21 19:45:07,0.2905,0.2906,0.00,0.00
1755819915,2025-08-21 19:45:15,0.2905,0.2906,0.00,0.00
1755819916,2025-08-21 19:45:16,0.2906,0.2907,0.00,0.00
1755819917,2025-08-21 19:45:17,0.2906,0.2907,0.00,0.00
1755819919,2025-08-21 19:45:19,0.2905,0.2906,0.00,0.00
1755819920,2025-08-21 19:45:20,0.2905,0.2906,0.00,0.00
1755819920,2025-08-21 19:45:20,0.2905,0.2906,0.00,0.00
1755819922,2025-08-21 19:45:22,0.2905,0.2906,0.00,0.00
1755819923,2025-08-21 19:45:23,0.2905,0.2906,0.00,0.00
1755819924,2025-08-21 19:45:24,0.2905,0.2906,0.00,0.00
1755819926,2025-08-21 19:45:26,0.2905,0.2906,0.00,0.00
1755819927,2025-08-21 19:45:27,0.2905,0.2906,0.00,0.00
1755819928,2025-08-21 19:45:28,0.2905,0.2906,0.00,0.00
1755819930,2025-08-21 19:45:30,0.2905,0.2906,0.00,0.00
1755819930,2025-08-21 19:45:30,0.2905,0.2906,0.00,0.00
1755819931,2025-08-21 19:45:31,0.2905,0.2906,0.00,0.00
1755819933,2025-08-21 19:45:33,0.2904,0.2905,0.00,0.00
1755819934,2025-08-21 19:45:34,0.2904,0.2905,0.00,0.00
